id,first_name,last_name,email,gender,Spent
1,Gary,Fields,gfields0@ycombinator.com,Male,210768.48
2,Debra,Griffin,dgriffin1@naver.com,Female,272636.23
3,Robert,Vasquez,rvasquez2@nasa.gov,Male,212847.39
4,Bruce,Morgan,bmorgan3@moonfruit.com,Male,42528.69
5,Wayne,Owens,wowens4@noaa.gov,Male,232745.22
6,Heather,Cunningham,hcunningham5@globo.com,Female,235176.26
7,Catherine,Gray,cgray6@creativecommons.org,Female,267994.33
8,Billy,Sanders,bsanders7@ebay.com,Male,41833.14
9,Gary,Shaw,gshaw8@canalblog.com,Male,47296.79
10,Jeffrey,Romero,jromero9@netvibes.com,Male,170316.76
11,Jeffrey,Crawford,jcrawforda@dyndns.org,Male,161850.37
12,Kimberly,Bradley,kbradleyb@studiopress.com,Female,58602.66
13,Jose,Parker,jparkerc@answers.com,Male,203440.10
14,Helen,Hughes,hhughesd@csmonitor.com,Female,291865.44
15,Lillian,Ramirez,lramireze@flickr.com,Female,279092.22
16,Heather,Edwards,hedwardsf@gizmodo.com,Female,102644.52
17,Rebecca,Washington,rwashingtong@bandcamp.com,Female,49848.74
18,Diana,Washington,dwashingtonh@princeton.edu,Female,94067.98
19,Shirley,Reid,sreidi@house.gov,Female,144133.73
20,James,Gordon,jgordonj@europa.eu,Male,166279.25
21,Catherine,Diaz,cdiazk@vk.com,Female,260689.49
22,Craig,Castillo,ccastillol@github.com,Male,245339.41
23,Brian,Oliver,boliverm@google.com,Male,250260.09
24,Anne,Lee,aleen@freewebs.com,Female,84701.37
25,Maria,Austin,maustino@usgs.gov,Female,205223.73
26,Earl,Campbell,ecampbellp@printfriendly.com,Male,93265.89
27,Christopher,West,cwestq@studiopress.com,Male,207335.19
28,Helen,Willis,hwillisr@archive.org,Female,290982.18
29,Michael,Riley,mrileys@china.com.cn,Male,248776.32
30,Jessica,Weaver,jweavert@nba.com,Female,161134.77
31,Wanda,Hamilton,whamiltonu@ask.com,Female,63730.79
32,Alice,Ortiz,aortizv@skype.com,Female,271941.76
33,Judith,Moreno,jmorenow@ucla.edu,Female,137916.95
34,Aaron,Ramos,aramosx@edublogs.org,Male,73103.08
35,Jean,Graham,jgrahamy@cafepress.com,Female,205619.95
36,Shirley,Williams,swilliamsz@4shared.com,Female,171520.43
37,Christine,Gomez,cgomez10@bloglines.com,Female,173809.38
38,Jesse,Jordan,jjordan11@jimdo.com,Male,147943.38
39,Sarah,Butler,sbutler12@samsung.com,Female,255498.02
40,Anne,Cole,acole13@ucoz.ru,Female,212354.58
41,Willie,Elliott,welliott14@etsy.com,Male,45735.72
42,Gary,Sullivan,gsullivan15@fotki.com,Male,140847.18
43,Shawn,Hart,shart16@over-blog.com,Male,227012.20
44,Gerald,Nguyen,gnguyen17@digg.com,Male,177070.52
45,Anne,Riley,ariley18@psu.edu,Female,102852.15
46,Virginia,Hunter,vhunter19@berkeley.edu,Female,80319.12
47,Carol,Austin,caustin1a@reference.com,Female,110130.61
48,Harry,Lynch,hlynch1b@wix.com,Male,105473.03
49,Mildred,Murphy,mmurphy1c@altervista.org,Female,133183.58
50,Timothy,Perkins,tperkins1d@yellowpages.com,Male,151004.72
